Manufacturer,Registrations,Date,Category
SMAP VEHICLES (IMPORTER: ELEGO MOTORS),8,2024-01-01,TWO WHEELER
SMARDA INDUSTRY (IMPORTER: RHYNO),4,2024-01-01,TWO WHEELER
SOKUDO ELECTRIC INDIA PVT LTD,418,2024-01-01,TWO WHEELER
SRIVARU MOTORS PVT LTD,3,2024-01-01,TWO WHEELER
SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),1,2024-01-01,TWO WHEELER
SUPERECO AUTOMOTIVE CO,20,2024-01-01,TWO WHEELER
SUPERTECH EV LIMITED,1,2024-01-01,TWO WHEELER
SUZUKI MOTORCYCLE INDIA PVT LTD,957241,2024-01-01,TWO WHEELER
TATA MOTORS PASSENGER VEHICLES LTD,1,2024-01-01,TWO WHEELER
THUKRAL ELECTRIC BIKES PVT LTD,11,2024-01-01,TWO WHEELER
TORK MOTORS PVT LTD,943,2024-01-01,TWO WHEELER
TRIUMPH MOTORCYCLES (INDIA) PVT LTD,1072,2024-01-01,TWO WHEELER
TUNWAL E MOTORS PVT LTD,16,2024-01-01,TWO WHEELER
TVS MOTOR COMPANY LTD,3249876,2024-01-01,TWO WHEELER
TYST DRIVE INDIA PVT LTD,6,2024-01-01,TWO WHEELER
ULTRAVIOLETTE AUTOMOTIVE PVT LTD,408,2024-01-01,TWO WHEELER
VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),3,2024-01-01,TWO WHEELER
VINTAGE VEHICLES,1,2024-01-01,TWO WHEELER
WARDWIZARD INNOVATIONS & MOBILITY LIMITED,10923,2024-01-01,TWO WHEELER
WARIVO MOTOR INDIA PVT LTD,118,2024-01-01,TWO WHEELER
WHITE CARBON MOTORS PVT LTD,22,2024-01-01,TWO WHEELER
WUXI DONGMA (IMPORTER: DYNAM PRECISION),6,2024-01-01,TWO WHEELER
WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),99,2024-01-01,TWO WHEELER
WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),95,2024-01-01,TWO WHEELER
WUXI NOOMA (IMPORTER: KKL HITECH EV),1,2024-01-01,TWO WHEELER
WUXI NOOMA (IMPORTER: SMARTNK ELECTRIC VEHICLE),8,2024-01-01,TWO WHEELER
WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),133,2024-01-01,TWO WHEELER
WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),3,2024-01-01,TWO WHEELER
WUXI SAIGE (IMPORTER: DM GREEN ENERGY),34,2024-01-01,TWO WHEELER
WUXI SAIGE (IMPORTER: ELECTRO-TECH),9,2024-01-01,TWO WHEELER
WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),4,2024-01-01,TWO WHEELER
WUXI SAIGE (IMPORTER: KKL HITECH EV),3,2024-01-01,TWO WHEELER
WUXI SAIGE (IMPORTER: NGAGE IMPEX),16,2024-01-01,TWO WHEELER
WUXI SAIGE (IMPORTER: WARIVO MOTOR),332,2024-01-01,TWO WHEELER
WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),26,2024-01-01,TWO WHEELER
WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),74,2024-01-01,TWO WHEELER
WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),52,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),6,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: FEZORA INDIA),21,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: FLYCON MOTORS),211,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),31,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),198,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: JAIDKA POWER),26,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: JOZHI SERVICES),132,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),10,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),6,2024-01-01,TWO WHEELER
WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),254,2024-01-01,TWO WHEELER
WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),20,2024-01-01,TWO WHEELER
WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),13,2024-01-01,TWO WHEELER
WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),339,2024-01-01,TWO WHEELER
WUXI YIZHILING (IMPORTER: HOMFEEL VEGH),40,2024-01-01,TWO WHEELER
XIDAA MOTO PVT LTD,1,2024-01-01,TWO WHEELER
YADEA TECHNOLOGY (IMPORTER: YULU BIKES),11,2024-01-01,TWO WHEELER
YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),1,2024-01-01,TWO WHEELER
YANGGUANG LINGMU (IMPORTER: ECOINDIA),1,2024-01-01,TWO WHEELER
YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),119,2024-01-01,TWO WHEELER
YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),13,2024-01-01,TWO WHEELER
YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),13,2024-01-01,TWO WHEELER
YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),178,2024-01-01,TWO WHEELER
YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),266,2024-01-01,TWO WHEELER
YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),26,2024-01-01,TWO WHEELER
YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),77,2024-01-01,TWO WHEELER
YOUYAKU ELECTRIC (IMPORTER:ONZO EV),46,2024-01-01,TWO WHEELER
